,Park,Name,Average_Wait
392,six flags discovery kingdom,roadrunner express,7.0
393,six flags discovery kingdom,sidewinder safari,33.0
394,six flags discovery kingdom,superman ultimate flight,27.0
395,six flags fiesta texas,batgirl coaster chase,1.0
396,six flags fiesta texas,batman the ride,15.0
397,six flags fiesta texas,boomerang coast to coaster,23.0
398,six flags fiesta texas,chupacabra,13.0
399,six flags fiesta texas,dr. diabolical's cliffhanger,6.0
400,six flags fiesta texas,iron rattler,30.0
401,six flags fiesta texas,pandemonium,14.0
402,six flags fiesta texas,poltergeist,19.0
403,six flags fiesta texas,road runner express,18.0
404,six flags fiesta texas,superman krypton coaster,16.0
405,six flags fiesta texas,wonder woman golden lasso coaster,28.0
406,six flags great adventure & safari,batman the ride,14.0
407,six flags great adventure & safari,dark knight,12.0
408,six flags great adventure & safari,el toro,14.0
409,six flags great adventure & safari,flash: vertical velocity,0.0
410,six flags great adventure & safari,harley quinn crazy train,8.0
411,six flags great adventure & safari,jersey devil coaster,17.0
412,six flags great adventure & safari,joker,21.0
413,six flags great adventure & safari,lil' devil coaster,0.0
414,six flags great adventure & safari,medusa,9.0
415,six flags great adventure & safari,nitro,20.0
416,six flags great adventure & safari,runaway mine train,7.0
417,six flags great adventure & safari,skull mountain,11.0
418,six flags great adventure & safari,superman - ultimate flight,26.0
419,six flags great america,american eagle,19.0
420,six flags great america,batman the ride,25.0
421,six flags great america,dark knight,30.0
422,six flags great america,demon,12.0
423,six flags great america,flash: vertical velocity,21.0
424,six flags great america,goliath,38.0
425,six flags great america,joker,29.0
426,six flags great america,little dipper,0.0
427,six flags great america,maxx force,44.0
428,six flags great america,raging bull,33.0
429,six flags great america,sprocket rockets,0.0
430,six flags great america,superman - ultimate flight,42.0
431,six flags great america,viper,17.0
432,six flags great america,whizzer,26.0
433,six flags great america,wrath of rakshasa,41.0
434,six flags great america,x-flight,34.0
435,six flags great escape,bobcat,0.0
436,six flags great escape,canyon blaster,11.0
437,six flags great escape,comet,5.0
438,six flags great escape,flashback,7.0
439,six flags great escape,frankie's mine train,2.0
440,six flags great escape,steamin' demon,2.0
441,six flags magic mountain,apocalypse the ride,27.0
442,six flags magic mountain,batman the ride,15.0
443,six flags magic mountain,canyon blaster,2.0
444,six flags magic mountain,full throttle,35.0
445,six flags magic mountain,gold rusher,8.0
446,six flags magic mountain,goliath,30.0
447,six flags magic mountain,new revolution,25.0
448,six flags magic mountain,ninja,19.0
449,six flags magic mountain,riddler's revenge,18.0
450,six flags magic mountain,road runner express,2.0
451,six flags magic mountain,scream!,14.0
452,six flags magic mountain,speedy gonzales hot rod racers,2.0
453,six flags magic mountain,tatsu,38.0
454,six flags magic mountain,twisted colossus,37.0
455,six flags magic mountain,viper,11.0
456,six flags magic mountain,west coast racers,41.0
457,six flags magic mountain,wonder woman flight of courage,32.0
458,six flags magic mountain,x2,44.0
459,six flags mexico,batgirl batarang,35.0
460,six flags mexico,batman the ride,27.0
461,six flags mexico,dark knight,11.0
462,six flags mexico,joker,7.0
463,six flags mexico,medusa steel coaster,34.0
464,six flags mexico,speedway stunt coaster,14.0
465,six flags mexico,superman el último escape,29.0
466,six flags mexico,superman krypton coaster,11.0
467,six flags mexico,tsunami,9.0
468,six flags mexico,wonder woman,7.0
469,six flags new england,batman - the dark knight,18.0
470,six flags new england,catwoman's whip,6.0
471,six flags new england,flashback,7.0
472,six flags new england,gotham city gauntlet escape from arkham asylum,14.0
473,six flags new england,great chase,4.0
474,six flags new england,joker,15.0
475,six flags new england,pandemonium,25.0
476,six flags new england,riddler revenge,23.0
477,six flags new england,superman the ride,21.0
478,six flags new england,thunderbolt,22.0
479,six flags new england,wicked cyclone,17.0
480,six flags over georgia,batman the ride,17.0
481,six flags over georgia,blue hawk,9.0
482,six flags over georgia,dahlonega mine train,8.0
483,six flags over georgia,dare devil dive,25.0
484,six flags over georgia,georgia gold rusher,13.0
485,six flags over georgia,georgia scorcher,13.0
486,six flags over georgia,goliath,17.0
487,six flags over georgia,great american scream machine,12.0
488,six flags over georgia,joker funhouse coaster,5.0
489,six flags over georgia,riddler mindbender,11.0
490,six flags over georgia,superman - ultimate flight,19.0
491,six flags over georgia,twisted cyclone,17.0
492,six flags over texas,aquaman: power wave,17.0
493,six flags over texas,batman the ride,20.0
494,six flags over texas,joker,18.0
495,six flags over texas,judge roy scream,7.0
496,six flags over texas,mini mine train,6.0
497,six flags over texas,mr. freeze,25.0
498,six flags over texas,new texas giant,30.0
499,six flags over texas,pandemonium,26.0
500,six flags over texas,runaway mine train,11.0
501,six flags over texas,runaway mountain,19.0
502,six flags over texas,shock wave,11.0
503,six flags over texas,titan,16.0
504,six flags over texas,wile e. coyote's grand canyon blaster,4.0
505,six flags st. louis,american thunder,10.0
506,six flags st. louis,batman the ride,15.0
507,six flags st. louis,boomerang,11.0
508,six flags st. louis,boss,14.0
509,six flags st. louis,mr. freeze reverse blast,16.0
510,six flags st. louis,ninja,6.0
511,six flags st. louis,pandemonium,14.0
512,six flags st. louis,river king mine train,9.0
513,six flags st. louis,rookie racer,9.0
514,six flags st. louis,screamin' eagle,11.0
515,thorpe park,colossus,39.0
516,thorpe park,flying fish,11.0
517,thorpe park,hyperia,66.0
518,thorpe park,nemesis inferno,40.0
519,thorpe park,saw - the ride,47.0
520,thorpe park,stealth,35.0
521,thorpe park,swarm,35.0
522,thorpe park,walking dead - the ride,20.0
523,tokyo disneyland,big thunder mountain / ビッグサンダー・マウンテン,33.0
524,tokyo disneyland,gadget's go coaster / ガジェットのゴーコースター,11.0
525,tokyo disneysea,flounder's flying fish coaster / フランダーのフライングフィッシュコースター,15.0
526,tokyo disneysea,raging spirits / レイジングスピリッツ,39.0
527,universal studios beijing,decepticoaster / 霸天虎过山车,24.0
528,universal studios beijing,flight of the hippogriff / 鹰马飞行,37.0
529,universal studios beijing,jurassic flyers / 飞越侏罗纪,50.0
530,universal studios beijing,loop-dee-doop-dee / 萌转过山车,31.0
531,universal studios florida,harry potter and the escape from gringotts,44.0
532,universal studios florida,revenge of the mummy,31.0
533,universal studios florida,trolls trollercoaster,16.0
534,universal studios hollywood,flight of the hippogriff,19.0
535,universal studios hollywood,revenge of the mummy the ride,29.0
536,universal studios japan,flight of the hippogriff / フライト・オブ・ザ・ヒッポグリフ,72.0
537,universal studios japan,flying dinosaur / ザ・フライング・ダイナソー,56.0
538,universal studios japan,hollywood dream: the ride / ハリウッド・ドリーム・ザ・ライド,67.0
539,universal studios japan,mine cart madness / ドンキーコングのクレイジー・トロッコ,142.0
540,universal studios japan,snoopy's flying ace adventure / スヌーピーのフライング・エース・アドベンチャー,46.0
541,universal studios japan,space fantasy - the ride: club zedd remix,42.0
542,universal studios singapore,battlestar galactica,17.0
543,universal studios singapore,canopy flyer,12.0
544,universal studios singapore,enchanted airways,5.0
545,universal studios singapore,puss in boots’ giant journey,11.0
546,universal studios singapore,revenge of the mummy,8.0
547,valleyfair,corkscrew,13.0
548,valleyfair,cosmic coaster,0.0
549,valleyfair,excalibur,6.0
550,valleyfair,high roller,18.0
551,valleyfair,mad mouse,27.0
552,valleyfair,renegade,18.0
553,valleyfair,steel venom,19.0
554,valleyfair,wild thing,18.0
555,walibi belgium,calamity mine,13.0
556,walibi belgium,cobra,13.0
557,walibi belgium,fun pilot,8.0
558,walibi belgium,kondaa,21.0
559,walibi belgium,loup-garou,23.0
560,walibi belgium,mecalodon,20.0
561,walibi belgium,pulsar,16.0
562,walibi belgium,tiki-waka,30.0
563,walibi belgium,turbine,12.0
564,walibi belgium,vampire,19.0
565,walibi holland,condor,20.0
566,walibi holland,drako,6.0
567,walibi holland,eat my dust,6.0
568,walibi holland,goliath,19.0
569,walibi holland,lost gravity,25.0
570,walibi holland,speed of sound,17.0
571,walibi holland,untamed,27.0
572,walibi holland,xpress: platform 13,21.0
573,walibi holland,yoy,20.0
574,walibi rhône-alpes,generator,17.0
575,walibi rhône-alpes,mystic,23.0
576,walibi rhône-alpes,timber,23.0
577,walibi rhône-alpes,woodstock express,27.0
578,worlds of fun,boomerang,16.0
579,worlds of fun,cosmic coaster,0.0
580,worlds of fun,mamba,24.0
581,worlds of fun,patriot,28.0
582,worlds of fun,prowler,15.0
583,worlds of fun,spinning dragons,38.0
584,worlds of fun,timber wolf,21.0
585,worlds of fun,zambezi zinger,30.0
